filename,success,error,before_altcontent,before_comments,before_styles,before_sdt,before_customxml,before_revisions,before_rels,after_altcontent,after_comments,after_styles,after_sdt,after_customxml,after_revisions,after_rels,fixes_total,altcontent_processed,comments_removed,styles_deduped,numbering_fixes,contenttypes_added,customxml_action,complexity_score,processing_impact
anexo-owner-dof-persona-juridica,true,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,kept,0,0
anexo-owner-dof-persona-natural,true,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,10,kept,0,2
anexo-owner-pep-persona-juridica,true,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,kept,0,0
anexo-owner-pep-persona-natural,true,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,kept,0,0
anexo-renter-dof-persona-juridica,true,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,10,kept,0,2
anexo-renter-dof-persona-natural,true,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,10,kept,0,2
anexo-renter-pep-persona-juridica,true,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,10,kept,0,2
anexo-renter-pep-persona-natural,true,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,10,kept,0,2
anexo_sin_garantia_plan_estandar,true,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,kept,0,0
cesion-plan-estandar-a-pro,true,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,removed,0,1
template-activa-mitjans,true,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,kept,0,0
template-activa-plaza-zenteno,true,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,kept,0,0
template-activa,true,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,removed,0,1
template-addendum-ac,true,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,10,removed,0,4
template-alamedapark,true,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,kept,0,0
template-alma-hipodromo,true,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,kept,0,0
template-amengual,true,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,kept,0,0
template-antonia,true,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,kept,0,0
template-assetchile,true,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,kept,0,0
template-barrio-quinta-avenida,true,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,kept,0,0
template-besalco,true,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,kept,0,0
template-borgetto,true,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,kept,0,0
template-briones,true,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,kept,0,0
template-carmen,true,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,kept,0,0
template-cheque,true,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,kept,0,0
template-colores-del-abra-ii,true,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,removed,0,1
template-corretaje-recaudacion-estandar,true,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,kept,0,0
template-ctto-subarriendo-arrendatario,true,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,kept,0,0
template-curinanca,true,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,kept,0,0
template-despouy,true,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,kept,0,0
template-estandar-corretaje,true,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,kept,0,0
template-estandar-recaudacion,true,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,kept,0,0
template-euro-orig,true,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,removed,0,1
template-euro,true,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,kept,0,0
template-formato-demanda-deuda-arrendamiento,true,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,removed,0,1
template-guardiamarina,true,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,kept,0,0
template-livinnx,true,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,kept,0,0
template-maestra-gabriela,true,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,kept,0,0
template-minvu-declaracion,true,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,kept,0,0
template-morande,true,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,kept,0,0
template-nuevakennedy,true,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,kept,0,0
template-pedro-valdivia,true,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,kept,0,0
template-peru-default,true,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,kept,0,0
